,column_i,column_j,column_k,pax_number
412,CD5,CD2,CD3,0.0
413,CD5,CD2,CD4,0.0
414,CD5,CD2,CD5,0.0
415,CD5,CD2,CD6,0.0
416,CD5,CD2,CD7,0.0
417,CD5,CD2,CD8,0.0
418,CD5,CD2,CD9,0.0
419,CD5,CD2,CD10,0.0
420,CD5,CD3,CD1,0.0
421,CD5,CD3,CD2,0.0
422,CD5,CD3,CD3,300.0
423,CD5,CD3,CD4,0.0
424,CD5,CD3,CD5,0.0
425,CD5,CD3,CD6,0.0
426,CD5,CD3,CD7,0.0
427,CD5,CD3,CD8,0.0
428,CD5,CD3,CD9,0.0
429,CD5,CD3,CD10,0.0
430,CD5,CD4,CD1,0.0
431,CD5,CD4,CD2,0.0
432,CD5,CD4,CD3,0.0
433,CD5,CD4,CD4,0.0
434,CD5,CD4,CD5,0.0
435,CD5,CD4,CD6,0.0
436,CD5,CD4,CD7,0.0
437,CD5,CD4,CD8,0.0
438,CD5,CD4,CD9,0.0
439,CD5,CD4,CD10,0.0
440,CD5,CD5,CD1,0.0
441,CD5,CD5,CD2,0.0
442,CD5,CD5,CD3,0.0
443,CD5,CD5,CD4,0.0
444,CD5,CD5,CD5,
445,CD5,CD5,CD6,0.0
446,CD5,CD5,CD7,0.0
447,CD5,CD5,CD8,0.0
448,CD5,CD5,CD9,0.0
449,CD5,CD5,CD10,0.0
450,CD5,CD6,CD1,0.0
451,CD5,CD6,CD2,0.0
452,CD5,CD6,CD3,0.0
453,CD5,CD6,CD4,0.0
454,CD5,CD6,CD5,0.0
455,CD5,CD6,CD6,0.0
456,CD5,CD6,CD7,0.0
457,CD5,CD6,CD8,0.0
458,CD5,CD6,CD9,0.0
459,CD5,CD6,CD10,0.0
460,CD5,CD7,CD1,0.0
461,CD5,CD7,CD2,0.0
462,CD5,CD7,CD3,0.0
463,CD5,CD7,CD4,0.0
464,CD5,CD7,CD5,0.0
465,CD5,CD7,CD6,0.0
466,CD5,CD7,CD7,0.0
467,CD5,CD7,CD8,0.0
468,CD5,CD7,CD9,0.0
469,CD5,CD7,CD10,0.0
470,CD5,CD8,CD1,0.0
471,CD5,CD8,CD2,0.0
472,CD5,CD8,CD3,0.0
473,CD5,CD8,CD4,0.0
474,CD5,CD8,CD5,0.0
475,CD5,CD8,CD6,0.0
476,CD5,CD8,CD7,0.0
477,CD5,CD8,CD8,0.0
478,CD5,CD8,CD9,0.0
479,CD5,CD8,CD10,0.0
480,CD5,CD9,CD1,0.0
481,CD5,CD9,CD2,0.0
482,CD5,CD9,CD3,0.0
483,CD5,CD9,CD4,0.0
484,CD5,CD9,CD5,0.0
485,CD5,CD9,CD6,0.0
486,CD5,CD9,CD7,0.0
487,CD5,CD9,CD8,0.0
488,CD5,CD9,CD9,0.0
489,CD5,CD9,CD10,0.0
490,CD5,CD10,CD1,0.0
491,CD5,CD10,CD2,0.0
492,CD5,CD10,CD3,0.0
493,CD5,CD10,CD4,0.0
494,CD5,CD10,CD5,0.0
495,CD5,CD10,CD6,0.0
496,CD5,CD10,CD7,0.0
497,CD5,CD10,CD8,0.0
498,CD5,CD10,CD9,0.0
499,CD5,CD10,CD10,0.0
500,CD6,CD1,CD1,0.0
501,CD6,CD1,CD2,0.0
502,CD6,CD1,CD3,0.0
503,CD6,CD1,CD4,0.0
504,CD6,CD1,CD5,0.0
505,CD6,CD1,CD6,0.0
506,CD6,CD1,CD7,0.0
507,CD6,CD1,CD8,0.0
508,CD6,CD1,CD9,0.0
509,CD6,CD1,CD10,0.0
510,CD6,CD2,CD1,0.0
511,CD6,CD2,CD2,0.0
512,CD6,CD2,CD3,0.0
513,CD6,CD2,CD4,0.0
514,CD6,CD2,CD5,0.0
515,CD6,CD2,CD6,0.0
516,CD6,CD2,CD7,0.0
517,CD6,CD2,CD8,0.0
518,CD6,CD2,CD9,0.0
519,CD6,CD2,CD10,0.0
520,CD6,CD3,CD1,0.0
521,CD6,CD3,CD2,0.0
522,CD6,CD3,CD3,374.0
523,CD6,CD3,CD4,0.0
524,CD6,CD3,CD5,0.0
525,CD6,CD3,CD6,0.0
526,CD6,CD3,CD7,0.0
527,CD6,CD3,CD8,0.0
528,CD6,CD3,CD9,0.0
529,CD6,CD3,CD10,0.0
530,CD6,CD4,CD1,0.0
531,CD6,CD4,CD2,0.0
532,CD6,CD4,CD3,0.0
533,CD6,CD4,CD4,0.0
534,CD6,CD4,CD5,0.0
535,CD6,CD4,CD6,0.0
536,CD6,CD4,CD7,0.0
537,CD6,CD4,CD8,0.0
538,CD6,CD4,CD9,0.0
539,CD6,CD4,CD10,0.0
540,CD6,CD5,CD1,0.0
541,CD6,CD5,CD2,0.0
542,CD6,CD5,CD3,0.0
543,CD6,CD5,CD4,0.0
544,CD6,CD5,CD5,0.0
545,CD6,CD5,CD6,0.0
546,CD6,CD5,CD7,0.0
547,CD6,CD5,CD8,0.0
548,CD6,CD5,CD9,0.0
549,CD6,CD5,CD10,0.0
550,CD6,CD6,CD1,0.0
551,CD6,CD6,CD2,0.0
552,CD6,CD6,CD3,0.0
553,CD6,CD6,CD4,0.0
554,CD6,CD6,CD5,0.0
555,CD6,CD6,CD6,
556,CD6,CD6,CD7,0.0
557,CD6,CD6,CD8,0.0
558,CD6,CD6,CD9,0.0
559,CD6,CD6,CD10,0.0
560,CD6,CD7,CD1,0.0
561,CD6,CD7,CD2,0.0
562,CD6,CD7,CD3,0.0
563,CD6,CD7,CD4,0.0
564,CD6,CD7,CD5,0.0
565,CD6,CD7,CD6,0.0
566,CD6,CD7,CD7,0.0
567,CD6,CD7,CD8,0.0
568,CD6,CD7,CD9,0.0
569,CD6,CD7,CD10,0.0
570,CD6,CD8,CD1,0.0
571,CD6,CD8,CD2,0.0
572,CD6,CD8,CD3,0.0
573,CD6,CD8,CD4,0.0
574,CD6,CD8,CD5,0.0
575,CD6,CD8,CD6,0.0
576,CD6,CD8,CD7,0.0
577,CD6,CD8,CD8,0.0
578,CD6,CD8,CD9,0.0
579,CD6,CD8,CD10,0.0
580,CD6,CD9,CD1,0.0
581,CD6,CD9,CD2,0.0
582,CD6,CD9,CD3,0.0
583,CD6,CD9,CD4,0.0
584,CD6,CD9,CD5,0.0
585,CD6,CD9,CD6,0.0
586,CD6,CD9,CD7,0.0
587,CD6,CD9,CD8,0.0
588,CD6,CD9,CD9,0.0
589,CD6,CD9,CD10,0.0
590,CD6,CD10,CD1,0.0
591,CD6,CD10,CD2,0.0
592,CD6,CD10,CD3,0.0
593,CD6,CD10,CD4,0.0
594,CD6,CD10,CD5,0.0
595,CD6,CD10,CD6,0.0
596,CD6,CD10,CD7,0.0
597,CD6,CD10,CD8,0.0
598,CD6,CD10,CD9,0.0
599,CD6,CD10,CD10,0.0
600,CD7,CD1,CD1,0.0
601,CD7,CD1,CD2,0.0
602,CD7,CD1,CD3,0.0
603,CD7,CD1,CD4,0.0
604,CD7,CD1,CD5,0.0
605,CD7,CD1,CD6,0.0
606,CD7,CD1,CD7,0.0
