, 0
828, 0
829, 0
830, 0
831, 0
832, 0
833, 0
834, 25
835, 0
836, 0
837, 5
838, 310
839, 0
840, 0
841, 0
842, 0
843, 0
844, 0
845, 0
846, 0
847, 16
848, 2
849, 366
850, 0
851, 0
852, 0
853, 0
854, 0
855, 0
856, 0
857, 0
858, 0
859, 0
860, 0
861, 0
862, 0
863, 31
864, 0
865, 24
866, 0
867, 0
868, 0
869, 0
870, 0
871, 0
872, 0
873, 0
874, 0
875, 0
876, 0
877, 0
878, 0
879, 144
880, 0
881, 0
882, 221
883, 0
884, 0
885, 0
886, 0
887, 0
888, 0
889, 0
890, 0
891, 0
892, 0
893, 0
894, 0
895, 0
896, 0
897, 0
898, 0
899, 0
900, 78
901, 0
902, 0
903, 0
904, 505
905, 0
906, 0
907, 0
908, 0
909, 0
910, 0
911, 0
912, 0
913, 0
914, 0
915, 204
916, 0
917, 0
918, 0
919, 0
920, 0
921, 0
922, 0
923, 0
924, 42
925, 0
926, 207
927, 0
928, 0
929, 0
930, 78
931, 0
932, 0
933, 0
934, 70
935, 16
936, 0
937, 64
938, 0
939, 0
940, 0
941, 0
942, 59
943, 0
944, 7
945, 6
946, 0
947, 14
948, 78
949, 0
950, 0
951, 0
952, 0
953, 47
954, 0
955, 8
956, 0
957, 0
958, 0
959, 0
960, 0
961, 0
962, 0
963, 0
964, 0
965, 0
966, 0
967, 0
968, 0
969, 0
970, 0
971, 32
972, 31
973, 0
974, 0
975, 0
976, 0
977, 0
978, 0
979, 0
980, 0
981, 324
982, 0
983, 0
984, 0
985, 0
986, 0
987, 0
988, 0
989, 0
990, 0
991, 0
992, 92
993, 0
994, 0
995, 0
996, 0
997, 0
998, 12
999, 0
1000, 156
1001, 0
1002, 0
1003, 227
1004, 0
1005, 0
1006, 0
1007, 0
1008, 0
1009, 0
1010, 0
1011, 14
1012, 0
1013, 7
1014, 234
1015, 0
1016, 0
1017, 0
1018, 0
1019, 0
1020, 0
1021, 32
1022, 0
1023, 0
1024, 0
1025, 223
1026, 0
1027, 0
1028, 0
1029, 0
1030, 0
1031, 65
1032, 26
1033, 0
1034, 0
1035, 0
1036, 59
1037, 0
1038, 0
1039, 0
1040, 0
1041, 0
1042, 0
1043, 0
1044, 0
1045, 0
1046, 19
1047, 156
1048, 0
1049, 0
1050, 0
1051, 0
1052, 0
1053, 0
1054, 0
1055, 0
1056, 0
1057, 0
1058, 144
1059, 0
1060, 0
1061, 25
1062, 38
1063, 0
1064, 0
1065, 0
1066, 0
1067, 0
1068, 0
1069, 0
1070, 0
1071, 0
1072, 0
1073, 0
1074, 0
1075, 0
1076, 0
1077, 0
1078, 0
1079, 0
